SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Reservoir water level (m)
4153,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,15-08-2011 13:30,12.496800
4154,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,16-08-2011 13:30,12.801600
4155,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,17-08-2011 13:30,12.954000
4156,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,18-08-2011 13:30,12.954000
4157,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,19-08-2011 13:30,12.801600
4158,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,20-08-2011 13:30,12.649200
4159,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,21-08-2011 13:30,12.496800
4160,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,22-08-2011 13:30,12.496800
4161,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,23-08-2011 13:30,12.466320
4162,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,24-08-2011 13:30,12.435840
4163,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,25-08-2011 13:30,12.435840
4164,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,26-08-2011 13:30,12.435840
4165,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,27-08-2011 13:30,12.435840
4166,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,28-08-2011 13:30,12.466320
4167,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,29-08-2011 13:30,12.496800
4168,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,30-08-2011 13:30,12.496800
4169,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,31-08-2011 13:30,12.496800
4170,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,01-09-2011 13:30,12.496800
4171,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,02-09-2011 13:30,12.496800
4172,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,03-09-2011 13:30,12.496800
4173,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,04-09-2011 13:30,12.496800
4174,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,05-09-2011 13:30,12.466320
4175,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,06-09-2011 13:30,12.466320
4176,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,07-09-2011 13:30,12.435840
4177,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,08-09-2011 13:30,12.435840
4178,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,09-09-2011 13:30,12.435840
4179,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,10-09-2011 13:30,12.435840
4180,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,11-09-2011 13:30,12.435840
4181,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,12-09-2011 13:30,12.435840
4182,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,13-09-2011 13:30,12.435840
4183,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,14-09-2011 13:30,12.435840
4184,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,15-09-2011 13:30,12.435840
4185,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,16-09-2011 13:30,12.435840
4186,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,17-09-2011 13:30,12.435840
4187,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,18-09-2011 13:30,12.435840
4188,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,19-09-2011 13:30,12.435840
4189,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,20-09-2011 13:30,12.435840
4190,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,21-09-2011 13:30,12.435840
4191,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,22-09-2011 13:30,12.435840
4192,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,23-09-2011 13:30,12.435840
4193,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,24-09-2011 13:30,12.435840
4194,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,25-09-2011 13:30,12.435840
4195,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,26-09-2011 13:30,12.435840
4196,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,27-09-2011 13:30,12.435840
4197,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,28-09-2011 13:30,12.435840
4198,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,29-09-2011 13:30,12.435840
4199,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,30-09-2011 13:30,12.435840
4200,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,01-10-2011 13:30,12.435840
4201,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,02-10-2011 13:30,12.435840
4202,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,03-10-2011 13:30,12.435840
4203,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,04-10-2011 13:30,12.435840
4204,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,05-10-2011 13:30,12.435840
4205,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,06-10-2011 13:30,12.435840
4206,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,07-10-2011 13:30,12.435840
4207,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,08-10-2011 13:30,12.466320
4208,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,09-10-2011 13:30,12.496800
4209,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,10-10-2011 13:30,12.527280
4210,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,11-10-2011 13:30,12.588240
4211,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,12-10-2011 13:30,12.618720
4212,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,13-10-2011 13:30,12.649200
4213,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,14-10-2011 13:30,12.710160
4214,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,15-10-2011 13:30,12.740640
4215,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,16-10-2011 13:30,12.771120
4216,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,17-10-2011 13:30,12.801600
4217,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,18-10-2011 13:30,12.832080
4218,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,19-10-2011 13:30,12.862560
4219,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,20-10-2011 13:30,12.893040
4220,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,21-10-2011 13:30,12.923520
4221,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,22-10-2011 13:30,12.954000
4222,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,23-10-2011 13:30,12.984480
4223,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,24-10-2011 13:30,13.014960
4224,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,25-10-2011 13:30,13.045440
4225,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,26-10-2011 13:30,13.075920
4226,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,27-10-2011 13:30,13.106400
4227,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,28-10-2011 13:30,13.136880
4228,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,29-10-2011 13:30,13.167360
4229,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,30-10-2011 13:30,13.197840
4230,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,31-10-2011 13:30,13.228320
4231,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,01-11-2011 13:30,13.258800
4232,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,02-11-2011 13:30,13.289280
4233,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,03-11-2011 13:30,13.319760
4234,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,04-11-2011 13:30,13.350240
4235,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,05-11-2011 13:30,13.380720
4236,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,06-11-2011 13:30,13.380720
4237,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,07-11-2011 13:30,13.380720
4238,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,08-11-2011 13:30,13.411200
4239,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,09-11-2011 13:30,13.411200
4240,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,10-11-2011 13:30,13.411200
4241,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,11-11-2011 13:30,13.411200
4242,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,12-11-2011 13:30,13.441680
4243,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,13-11-2011 13:30,13.441680
4244,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,14-11-2011 13:30,13.441680
4245,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,15-11-2011 13:30,13.441680
4246,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,16-11-2011 13:30,13.441680
4247,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,17-11-2011 13:30,13.441680
4248,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,18-11-2011 13:30,13.441680
4249,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,19-11-2011 13:30,13.441680
4250,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,20-11-2011 13:30,13.441680
4251,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,21-11-2011 13:30,13.441680
4252,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,22-11-2011 13:30,13.441680
4253,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,23-11-2011 13:30,13.441680
4254,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,24-11-2011 13:30,13.411200
4255,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,25-11-2011 13:30,13.411200
4256,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,26-11-2011 13:30,13.411200
4257,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,27-11-2011 13:30,13.411200
4258,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,28-11-2011 13:30,13.411200
4259,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,29-11-2011 13:30,13.411200
4260,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,30-11-2011 13:30,13.411200
4261,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,01-12-2011 13:30,13.380720
4262,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,02-12-2011 13:30,13.380720
4263,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,03-12-2011 13:30,13.350240
4264,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,04-12-2011 13:30,13.350240
4265,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,05-12-2011 13:30,13.319760
4266,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,06-12-2011 13:30,13.319760
4267,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,07-12-2011 13:30,13.289280
4268,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,08-12-2011 13:30,13.289280
4269,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,09-12-2011 13:30,13.258800
4270,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,10-12-2011 13:30,13.258800
4271,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,11-12-2011 13:30,13.228320
4272,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,12-12-2011 13:30,13.228320
4273,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,13-12-2011 13:30,13.197840
4274,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,14-12-2011 13:30,13.167360
4275,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,15-12-2011 13:30,13.136880
4276,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,16-12-2011 13:30,13.106400
4277,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,17-12-2011 13:30,13.106400
4278,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,18-12-2011 13:30,13.106400
4279,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,19-12-2011 13:30,13.075920
4280,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,20-12-2011 13:30,13.075920
4281,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,21-12-2011 13:30,13.045440
4282,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,22-12-2011 13:30,13.045440
4283,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,23-12-2011 13:30,13.014960
4284,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,24-12-2011 13:30,13.014960
