timestamp,catchment_precip_mm,valid_grid_fraction,source_product
2024-06-01 00:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 01:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 02:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 03:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 04:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 05:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 06:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 07:00:00+00:00,0.004,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 08:00:00+00:00,0.012,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 09:00:00+00:00,0.033,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 10:00:00+00:00,0.034,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 11:00:00+00:00,0.02,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 12:00:00+00:00,0.029,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 13:00:00+00:00,0.008,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 14:00:00+00:00,0.002,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 15:00:00+00:00,0.003,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 16:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 17:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 18:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 19:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 20:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 21:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 22:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-01 23:00:00+00:00,0.002,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 00:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 01:00:00+00:00,0.333,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 02:00:00+00:00,0.027,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 03:00:00+00:00,0.031,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 04:00:00+00:00,0.08,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 05:00:00+00:00,0.112,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 06:00:00+00:00,0.134,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 07:00:00+00:00,0.174,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 08:00:00+00:00,0.156,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 09:00:00+00:00,0.172,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 10:00:00+00:00,0.05,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 11:00:00+00:00,0.019,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 12:00:00+00:00,0.025,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 13:00:00+00:00,0.007,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 14:00:00+00:00,0.002,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 15:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 16:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 17:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 18:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 19:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 20:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 21:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 22:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-02 23:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 00:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 01:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 02:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 03:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 04:00:00+00:00,0.024,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 05:00:00+00:00,0.055,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 06:00:00+00:00,0.05,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 07:00:00+00:00,0.07,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 08:00:00+00:00,0.173,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 09:00:00+00:00,0.143,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 10:00:00+00:00,0.355,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 11:00:00+00:00,0.199,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 12:00:00+00:00,0.122,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 13:00:00+00:00,0.116,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 14:00:00+00:00,0.032,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 15:00:00+00:00,0.002,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 16:00:00+00:00,0.001,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 17:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 18:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 19:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 20:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 21:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 22:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-03 23:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-04 00:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-04 01:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
