Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
28;56.00095276421041;1,378;0;4.652692;6,736;6,736;72;63;480;1.044982;3.572917;145.264016;6,060;676;6,736;63;0;0;0.001098377142975391;0.001813280567698067;1.095687;0.000000;0.000000;7,039;1,715
29;58.00078994954396;1,361;0;4.384782;6,746;6,746;72;62;496;1.043433;3.457661;149.652301;6,060;686;6,746;62;0;0;0.001081471063585432;0.00178912219338022;1.095687;0.000000;0.000000;7,039;1,715
30;60.00130621898218;1,313;0;4.737856;6,755;6,755;72;63;496;1.042043;3.457661;154.393316;6,060;695;6,755;63;0;0;0.001192682482853757;0.001832100826221059;1.095687;0.000000;0.000000;7,039;1,715
31;62.00022516151562;1,300;0;4.600079;6,774;6,774;72;53;496;1.039120;3.457661;158.996807;6,060;714;6,774;53;0;0;0.001185331114406418;0.001815976722089085;1.095687;0.000000;0.000000;7,039;1,715
32;64.00073867739111;1,293;0;4.749506;6,777;6,777;72;69;480;1.038660;3.572917;163.749786;6,060;717;6,777;69;0;0;0.001239869335247823;0.001845831956946511;1.095687;0.000000;0.000000;7,039;1,715
33;66.00080278725713;1,257;0;4.290122;6,780;6,780;72;69;496;1.038201;3.457661;168.043393;6,060;720;6,780;69;0;0;0.001288856285030166;0.001832879877113134;1.095687;0.000000;0.000000;7,039;1,715
34;68.00017315139749;1,231;0;4.418736;6,781;6,781;72;71;496;1.038047;3.457661;172.465568;6,060;721;6,781;71;0;0;0.001355759862026532;0.001836218419492984;1.095687;0.000000;0.000000;7,039;1,715
35;70.00052227096833;1,232;0;4.516120;6,781;6,781;72;72;496;1.038047;3.457661;176.985762;6,060;721;6,781;72;0;0;0.001360033589997073;0.001836890271023072;1.095687;0.000000;0.000000;7,039;1,715
36;72.00031581063345;1,195;0;4.185732;6,780;6,780;72;73;496;1.038201;3.457661;181.175928;6,060;720;6,780;73;0;0;0.001443520488971409;0.001839772377263998;1.095687;0.000000;0.000000;7,039;1,715
37;74.00141030282245;1,169;0;4.270007;6,776;6,776;72;76;496;1.038813;3.457661;185.449276;6,060;716;6,776;76;0;0;0.001508280760201791;0.001863687327192213;1.095687;0.000000;0.000000;7,039;1,715
