time_s,Q_out_m3s
167200.0,0.0
167220.0,0.0
167240.0,0.0
167260.0,0.0
167280.0,43750.0
167300.0,145833.3333333333
167320.0,254166.66666666663
167340.0,300000.0
167360.0,291666.6666666666
167380.0,231250.0
167400.0,133333.3333333333
167420.0,31250.0
167440.0,0.0
167460.0,2083.333333333333
167480.0,33333.33333333333
167500.0,43750.0
167520.0,66666.66666666666
167540.0,43750.0
167560.0,27083.333333333332
167580.0,10416.666666666668
167600.0,4166.666666666666
167620.0,12500.0
167640.0,0.0
167660.0,18750.0
167680.0,0.0
167700.0,43750.0
167720.0,66666.66666666666
167740.0,93750.0
167760.0,70833.33333333334
167780.0,41666.66666666667
167800.0,72916.66666666666
167820.0,68750.0
167840.0,68750.0
167860.0,22916.666666666664
167880.0,16666.666666666664
167900.0,8333.333333333332
167920.0,0.0
167940.0,0.0
167960.0,0.0
167980.0,0.0
168000.0,9375.0
