hyriv_id,next_down,main_riv,length_km,discharge_m3s_mean,catchment_up_area_km2,river_order,source,geometry_type,provenance
40625951,40625389,41023100,2.59,0.404,28.5,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40625952,40625679,41023100,2.87,9.573,720.7,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40625953,40625952,41023100,4.21,0.219,16.3,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626084,40626391,41023100,0.59,0.252,10.1,5,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626085,40626391,41023100,0.69,0.163,6.4,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626086,40625814,41023100,2.62,678.097,46240.1,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626087,40626086,41023100,2.62,677.927,46213.4,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626088,40626087,41023100,3.01,676.711,46140.8,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626089,40626088,41023100,1.4,675.124,46040.9,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626090,40626089,41023100,5.35,675.145,46030.1,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626091,40626090,41023100,1.84,0.292,13.9,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626092,40626870,41023100,3.5,0.292,15.7,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626093,40625952,41023100,0.61,9.277,698.4,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626094,40626095,41023100,1.38,0.131,9.1,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626095,40625391,41023100,2.46,12.871,882.4,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626096,40625683,41023100,1.53,302.396,21078.0,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626221,40626222,41023100,2.17,0.222,13.9,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626222,40624978,41023100,5.29,11.97,578.7,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626389,40627146,41023100,1.99,0.356,14.4,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626390,40627146,41023100,2.9,1.758,68.4,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626391,40626868,41023100,1.22,0.438,17.4,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626392,40626868,41023100,6.16,0.429,16.6,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626393,40626564,41023100,0.59,0.109,4.4,5,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626394,40626564,41023100,1.52,0.111,4.4,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626395,40625948,41023100,2.3,0.192,8.2,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626396,40624849,41023100,7.06,0.493,37.5,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626397,40625538,41023100,4.45,0.277,20.1,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626398,40626573,41023100,1.52,0.13,8.8,5,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626399,40627728,41023100,6.17,3.54,244.2,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626400,40627728,41023100,7.93,4.376,309.2,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626564,40626566,41023100,1.0,0.269,10.8,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626565,40626566,41023100,9.86,2.708,101.8,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626566,40627005,41023100,0.4,3.03,114.8,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626567,40627005,41023100,1.84,0.173,6.9,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626568,40626090,41023100,1.83,675.469,45992.0,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626569,40626093,41023100,1.83,8.712,657.8,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626570,40627447,41023100,1.3,0.214,16.1,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626571,40627447,41023100,0.91,0.118,8.8,5,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626572,40626095,41023100,1.53,12.68,869.0,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626573,40626572,41023100,3.83,0.631,41.5,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626574,40626096,41023100,4.03,0.264,15.2,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626575,40626096,41023100,1.68,302.077,21059.2,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626576,40628972,41023100,2.98,0.223,12.1,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626577,40628972,41023100,1.3,0.135,7.1,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626728,40627006,41023100,3.04,684.526,46527.9,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626729,40626569,41023100,0.61,8.286,626.9,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626730,40626729,41023100,1.6,0.266,19.8,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626731,40624848,41023100,8.18,0.556,42.1,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626732,40626575,41023100,0.61,301.893,21048.4,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626868,40628287,41023100,2.47,1.113,44.1,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626869,40628287,41023100,4.55,0.616,24.3,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626870,40627009,41023100,3.65,8.07,374.6,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626871,40627722,41023100,1.81,0.161,9.1,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626872,40627722,41023100,6.14,0.965,56.7,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626873,40627443,41023100,1.99,0.119,7.7,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626874,40627443,41023100,4.75,651.353,44006.0,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40626875,40626572,41023100,1.07,11.999,824.0,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627005,40627302,41023100,1.68,3.259,124.1,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627006,40627302,41023100,3.59,684.372,46551.1,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627007,40626088,41023100,3.22,1.965,93.5,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627008,40626568,41023100,1.83,675.209,45967.7,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627009,40627008,41023100,1.4,674.247,45908.9,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627010,40626575,41023100,1.99,0.147,8.2,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627146,40627583,41023100,2.46,2.266,89.2,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627301,40627583,41023100,5.53,0.601,24.9,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627302,40627720,41023100,1.07,687.485,46676.5,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627303,40626086,41023100,4.3,0.445,19.8,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627304,40627007,41023100,1.61,1.126,54.6,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627305,40627446,41023100,1.38,0.164,12.3,5,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
