canonical_osm_id,name,place_type,geometry_type,latitude,longitude,corridor_distance_km,corridor_relevance,source,provenance
node/7873054467,Khand,hamlet,Point,30.26327,78.47577,4.11,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054468,Sauntilgaon,hamlet,Point,30.25682,78.48772,3.32,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054469,mangaon,hamlet,Point,30.2543,78.4868,3.53,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054470,Samnarkhoti,hamlet,Point,30.25138,78.48088,4.22,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054471,Dandeli,hamlet,Point,30.25759,78.4587,5.99,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054472,Palogi,hamlet,Point,30.2488,78.46062,6.21,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054473,Bamangaon,hamlet,Point,30.25062,78.45504,6.64,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054474,Andarphiogaon,hamlet,Point,30.2537,78.45039,6.95,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054475,Bhatoni,hamlet,Point,30.25323,78.44444,7.56,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054476,Dabara,hamlet,Point,30.25039,78.43957,8.14,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054478,Bhali,hamlet,Point,30.25946,78.43249,8.56,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054479,Pali,hamlet,Point,30.26298,78.43004,8.7,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054480,Gaunsan,hamlet,Point,30.26329,78.42221,9.48,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873054481,Jaikot,hamlet,Point,30.2587,78.42125,9.71,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873096111,Unnamed Settlement,hamlet,Point,30.36871,78.42459,6.0,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873096116,Unnamed Settlement,hamlet,Point,30.34426,78.45374,4.18,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873096120,Unnamed Settlement,hamlet,Point,30.34081,78.46071,3.58,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7873096121,Unnamed Settlement,hamlet,Point,30.3023,78.46637,3.88,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7874758211,Unnamed Settlement,hamlet,Point,30.36936,78.48109,0.44,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7874758212,Unnamed Settlement,hamlet,Point,30.36697,78.47635,0.99,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7874758213,Unnamed Settlement,hamlet,Point,30.35796,78.48125,1.0,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7874758215,Unnamed Settlement,hamlet,Point,30.36392,78.44778,3.79,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7874758224,Unnamed Settlement,hamlet,Point,30.3342,78.44057,5.81,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507859,Gogani,hamlet,Point,30.23235,78.44219,8.74,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507861,Phalsari,hamlet,Point,30.24847,78.42213,9.93,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507862,Chhidwan,hamlet,Point,30.23916,78.417,10.78,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507864,Chauri,hamlet,Point,30.24481,78.44155,8.18,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507865,Lawabdara,hamlet,Point,30.24201,78.44517,7.97,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507866,Kandarigaon,hamlet,Point,30.24808,78.45084,7.15,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507867,Thanyul,hamlet,Point,30.24316,78.45622,6.9,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507868,Amsari,hamlet,Point,30.24061,78.46974,5.8,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507869,Maldhar,hamlet,Point,30.24231,78.46581,6.07,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507870,Kot,hamlet,Point,30.24669,78.47236,5.24,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507871,Payalgaon,hamlet,Point,30.24368,78.47903,4.79,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507872,Banatu Ka Gaon,hamlet,Point,30.23148,78.47918,5.41,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507873,Goni Ka Marara,hamlet,Point,30.2296,78.48274,5.18,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507874,Gumalgaon,hamlet,Point,30.23749,78.48537,4.53,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507875,Lawgaon,hamlet,Point,30.23782,78.49238,3.88,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507876,Kirara,hamlet,Point,30.23399,78.49227,4.09,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507877,Kemsur,hamlet,Point,30.22577,78.48768,4.93,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886507878,Saundari,hamlet,Point,30.228,78.49279,4.35,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624337,Berni Badi,hamlet,Point,30.23378,78.39183,12.56,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624338,Berni Choti,hamlet,Point,30.23805,78.39715,12.77,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624366,Banal,hamlet,Point,30.22123,78.39172,11.26,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624369,Odara,hamlet,Point,30.22023,78.38048,11.37,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624370,Tamoli,hamlet,Point,30.22692,78.38166,12.04,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624371,Raundeli,hamlet,Point,30.23163,78.38063,12.54,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624372,Hadisera,hamlet,Point,30.23686,78.37162,13.26,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624373,Sunargaon,hamlet,Point,30.24406,78.38637,13.66,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624374,Mansera,hamlet,Point,30.24758,78.38024,14.17,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624375,Adwani,village,Point,30.2472,78.39245,12.95,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624376,Kala,hamlet,Point,30.24656,78.40668,11.54,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
