canonical_osm_id,name,facility_type,raw_amenity_tag,raw_healthcare_tag,geometry_type,latitude,longitude,corridor_distance_km,corridor_relevance,source,provenance
node/6951884828,Devbhoomi Hospital,hospital,hospital,,Point,29.93168,78.13516,3.2,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6952173379,Shiv Shakti Hospital,hospital,hospital,,Point,29.92087,78.13881,2.99,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6953071775,Ganga Valley Hospital,hospital,hospital,,Point,29.92438,78.13727,3.1,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6953276702,Sondhi Nursing Home,clinic,clinic,,Point,29.9242,78.11944,4.95,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6953276776,Ganga Mata Charitable Eye Hospital and Research Institute,hospital,hospital,,Point,29.98924,78.19269,0.03,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6953552509,Preet Maternity Home And Ent Centre,clinic,clinic,,Point,29.92547,78.12344,4.52,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6953738074,Dr Mehras Nursing Home and Hospital,hospital,hospital,,Point,29.93306,78.13584,3.11,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6953845203,Lilawati Hospital,hospital,hospital,,Point,29.93254,78.07192,9.76,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6956686288,Shri Swami Bhumanand Hospital,hospital,hospital,,Point,29.91642,78.08243,8.92,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6956686342,Government Mela Hospital,hospital,hospital,,Point,29.95141,78.15782,0.91,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6957050048,Neelkanth Netralaya,clinic,clinic,,Point,29.9166,78.13727,3.22,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6958010670,Shatabdi Hospital,hospital,hospital,,Point,29.93372,78.07176,9.76,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7484472631,Mishra Maternity Hospital,hospital,hospital,,Point,29.92009,78.13713,3.18,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7484472645,Maxwell Janjeevan Hospital,hospital,hospital,,Point,29.92171,78.13634,3.24,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7484472667,Daksh Balaji Ortho Hospital,hospital,hospital,,Point,29.91856,78.14105,2.79,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7484472671,Sanjeevani Hospital,hospital,hospital,,Point,29.92228,78.13683,3.18,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
