SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
34,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,21-08-2022 08:00,1.2
35,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,22-08-2022 08:00,2
36,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,23-08-2022 08:00,0.6
37,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,23-08-2022 16:00,0.4
38,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,24-08-2022 08:00,2.8
39,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,25-08-2022 08:00,8
40,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,26-08-2022 08:00,5.6
41,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,27-08-2022 08:00,16.6
42,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,27-08-2022 16:00,1.2
43,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,28-08-2022 08:00,5.2
44,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,28-08-2022 16:00,1.8
45,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,29-08-2022 08:00,73.6
46,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,29-08-2022 14:00,0.6
